Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Display_Size_inch,Display_Type,RearCam,FrontCam,Battery_mAh,Processor,Warranty_Years,Specs
Vivo,vivo V60 5G,"vivo V60 5G (Mist Gray, 512 GB)",45999,50548.35,9%,4.5,14,448,6.77,HD+,50MP + 8MP + 50MP,50MP,6500, 7 Gen 4 Processor,1,16 GB RAM | 512 GB ROM; 17.2 cm (6.77 inch) Display; 50MP + 8MP + 50MP | 50MP Front Camera; 6500 mAh Battery; 7 Gen 4 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Vivo,vivo V60 5G,"vivo V60 5G (Auspicious Gold, 512 GB)",45999,50548.35,9%,4.5,14,448,6.77,HD+,50MP + 8MP + 50MP,50MP,6500, 7 Gen 4 Processor,1,16 GB RAM | 512 GB ROM; 17.2 cm (6.77 inch) Display; 50MP + 8MP + 50MP | 50MP Front Camera; 6500 mAh Battery; 7 Gen 4 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Realme,realme P4 Pro 5G,"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",26999,30680.68,12%,4.4,8,256,6.8,HD+,50MP + 8MP,50MP,7000, Snapdragon 7 Gen 4 Mobile Processor,1,8 GB RAM | 256 GB ROM; 17.27 cm (6.8 inch) Display; 50MP + 8MP | 50MP Front Camera; 7000 mAh Battery; Snapdragon 7 Gen 4 Mobile Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Redmi,REDMI 14C 5G,"REDMI 14C 5G (Starlight Blue, 128 GB)",9978,13858.33,28%,4.2,4,128,6.88,HD+,50MP Rear Camera,8MP,5160, 4 Gen 2 5G Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5160 mAh Battery; 4 Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Samsung,Samsung Galaxy S24 FE 5G,"Samsung Galaxy S24 FE 5G (Blue, 128 GB)",39999,59700,33%,4.5,8,128,6.7,HD+,50MP + 12MP,10MP,4700, Exynos 2400e Processor,1,8 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 12MP | 10MP Front Camera; 4700 mAh Battery; Exynos 2400e Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Vivo,vivo T3 Pro 5G,"vivo T3 Pro 5G (Emerald Green, 256 GB)",24999,31644.3,21%,4.5,8,256,6.77,HD+,50MP + 8MP,16MP,5500, Snapdragon 7 Gen 3 Processor,1,8 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Full HD+ AMOLED Display; 50MP + 8MP | 16MP Front Camera; 5500 mAh Battery; Snapdragon 7 Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Vivo,vivo T3 Pro 5G,"vivo T3 Pro 5G (Sandstone Orange, 128 GB)",22999,29868.83,23%,4.5,8,128,6.77,HD+,50MP + 8MP,16MP,5500, Snapdragon 7 Gen 3 Processor,1,8 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Full HD+ AMOLED Display; 50MP + 8MP | 16MP Front Camera; 5500 mAh Battery; Snapdragon 7 Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Realme,realme P3 Ultra 5G,"realme P3 Ultra 5G (Glowing Lunar White, 256 GB)",29999,35713.1,16%,4.5,12,256,6.83,HD+,50MP + 8MP,16MP,6000, Dimensity 8350 Ultra Processor,1,12 GB RAM | 256 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 8MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 8350 Ultra Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Realme,realme 13 Pro+ 5G,"realme 13 Pro+ 5G (Emerald Green, 256 GB)",25999,36618.31,29%,4.4,8,256,6.7,HD+,50MP + 8MP + 50MP,32MP,5200, Snapdragon 7s Gen2 Processor,1,8 GB RAM | 256 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 8MP + 50MP | 32MP Front Camera; 5200 mAh Battery; Snapdragon 7s Gen2 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Realme,realme 14 Pro 5G,"realme 14 Pro 5G (Pearl White, 256 GB)",26999,29998.89,10%,4.4,8,256,6.77,HD+,50MP + 2MP,16MP,6000, Dimensity 7300 Energy Processor,1,8 GB RAM | 256 GB ROM; 17.2 cm (6.77 inch) Full HD+ Display; 50MP + 2MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 7300 Energy Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
